olt_ip,status,total
10.215.65.126,active,74
10.215.74.244,active,109
10.215.74.197,inactive,5
10.215.65.160,active,104
10.210.38.11,active,37
10.215.74.197,active,253
10.215.74.243,active,74
10.215.74.197,partial_active,7
10.210.38.104,active,8
10.215.65.126,inactive,1
10.210.38.51,active,9
10.215.74.243,inactive,3
10.215.65.126,partial_active,4
10.210.38.80,active,7
10.228.38.71,active,25
10.210.38.252,active,15
10.215.74.244,inactive,2
10.215.74.244,partial_active,3
10.228.46.5,active,3
10.215.65.160,partial_active,1
10.210.38.11,inactive,1
10.215.74.243,partial_active,1
