olt_ip,plan_category,status,total
10.210.38.104,free_plan,active,1
10.210.38.104,high_value,active,8
10.210.38.104,low_value,active,1
10.210.38.104,mid_value,active,12
10.210.38.104,mid_value,inactive,1
10.210.38.104,mid_value,partial_active,2
10.210.38.11,high_value,active,37
10.210.38.11,high_value,inactive,1
10.210.38.11,low_value,active,5
10.210.38.11,mid_value,active,22
10.210.38.11,mid_value,partial_active,2
10.210.38.252,high_value,active,15
10.210.38.252,low_value,active,6
10.210.38.252,mid_value,active,10
10.210.38.252,mid_value,partial_active,3
10.210.38.51,free_plan,active,2
10.210.38.51,high_value,active,9
10.210.38.51,low_value,active,2
10.210.38.51,mid_value,active,6
10.210.38.80,high_value,active,7
10.215.65.126,free_plan,active,2
10.215.65.126,high_value,active,74
10.215.65.126,high_value,inactive,1
10.215.65.126,high_value,partial_active,4
10.215.65.126,low_value,active,3
10.215.65.126,low_value,inactive,1
10.215.65.126,mid_value,active,53
10.215.65.126,mid_value,inactive,3
10.215.65.126,mid_value,partial_active,3
10.215.65.160,high_value,active,104
10.215.65.160,high_value,partial_active,1
10.215.65.160,low_value,active,4
10.215.65.160,mid_value,active,80
10.215.65.160,mid_value,inactive,3
10.215.65.160,mid_value,partial_active,5
10.215.74.197,free_plan,active,3
10.215.74.197,high_value,active,253
10.215.74.197,high_value,inactive,5
10.215.74.197,high_value,partial_active,7
10.215.74.197,low_value,active,55
10.215.74.197,low_value,partial_active,2
10.215.74.197,mid_value,active,115
10.215.74.197,mid_value,inactive,4
10.215.74.197,mid_value,partial_active,5
10.215.74.243,high_value,active,74
10.215.74.243,high_value,inactive,3
10.215.74.243,high_value,partial_active,1
10.215.74.243,low_value,active,2
10.215.74.243,low_value,inactive,1
10.215.74.243,mid_value,active,49
10.215.74.243,mid_value,inactive,1
10.215.74.243,mid_value,partial_active,1
10.215.74.244,free_plan,active,1
10.215.74.244,free_plan,inactive,1
10.215.74.244,high_value,active,109
10.215.74.244,high_value,inactive,2
10.215.74.244,high_value,partial_active,3
10.215.74.244,low_value,active,9
10.215.74.244,mid_value,active,36
10.215.74.244,mid_value,inactive,2
10.215.74.244,mid_value,partial_active,2
10.228.38.71,high_value,active,25
10.228.38.71,mid_value,active,13
10.228.46.5,high_value,active,3
