olt_ip,status,total
10.210.38.104,active,22
10.210.38.104,inactive,1
10.210.38.104,partial_active,2
10.210.38.11,active,64
10.210.38.11,inactive,1
10.210.38.11,partial_active,2
10.210.38.252,active,31
10.210.38.252,partial_active,3
10.210.38.51,active,19
10.210.38.80,active,7
10.215.65.126,active,132
10.215.65.126,inactive,5
10.215.65.126,partial_active,7
10.215.65.160,active,188
10.215.65.160,inactive,3
10.215.65.160,partial_active,6
10.215.74.197,active,426
10.215.74.197,inactive,9
10.215.74.197,partial_active,14
10.215.74.243,active,125
10.215.74.243,inactive,5
10.215.74.243,partial_active,2
10.215.74.244,active,155
10.215.74.244,inactive,5
10.215.74.244,partial_active,5
10.228.38.71,active,38
10.228.46.5,active,3
