olt_key,service_count,high_risk_service_count,olt_performance_kpi,high_risk_service_rate,robust_z_score,is_anomaly
OLT_0004,25,3,0.92,0.12,1.2927419975103307,False
OLT_0003,34,3,0.9558823529411765,0.08823529411764706,0.718786676039422,False
OLT_0005,144,12,0.9409722222222222,0.08333333333333333,0.6302133239605779,False
OLT_0007,165,10,0.9545454545454546,0.06060606060606061,0.21955505523139232,False
OLT_0006,132,7,0.9545454545454546,0.05303030303030303,0.08266896565499707,False
OLT_0001,449,23,0.9643652561247216,0.051224944320712694,0.05004800444191398,False
OLT_0002,197,9,0.9695431472081218,0.04568527918781726,-0.0500480044419141,False
OLT_0009,67,3,0.9701492537313433,0.04477611940298507,-0.066475579704359,False
OLT_0008,19,0,1.0,0.0,-0.8755336613797695,False
OLT_0010,38,0,1.0,0.0,-0.8755336613797695,False
OLT_0011,7,0,1.0,0.0,-0.8755336613797695,False
OLT_0012,3,0,1.0,0.0,-0.8755336613797695,False
