customer_key,customer_type,connection_count
CUST_0001,business,1
CUST_0002,individual,1
CUST_0003,individual,1
CUST_0004,individual,1
CUST_0005,individual,1
CUST_0006,business,2
CUST_0007,individual,1
CUST_0008,individual,1
CUST_0009,individual,1
CUST_0010,individual,1
CUST_0011,individual,1
CUST_0012,individual,1
CUST_0013,individual,1
CUST_0014,individual,1
CUST_0015,individual,1
CUST_0016,individual,1
CUST_0017,individual,1
CUST_0018,individual,1
CUST_0019,individual,1
CUST_0020,individual,1
CUST_0021,individual,1
CUST_0022,individual,1
CUST_0023,individual,1
CUST_0024,business,1
CUST_0025,individual,1
CUST_0026,individual,1
CUST_0027,individual,1
CUST_0028,individual,1
CUST_0029,institutional,1
CUST_0030,individual,1
CUST_0031,individual,1
CUST_0032,individual,1
CUST_0033,individual,2
CUST_0034,individual,2
CUST_0035,individual,6
CUST_0036,individual,1
CUST_0037,individual,1
CUST_0038,individual,1
CUST_0039,individual,1
CUST_0040,individual,1
CUST_0041,individual,1
CUST_0042,individual,1
CUST_0043,individual,1
CUST_0044,individual,1
CUST_0045,individual,1
CUST_0046,individual,1
CUST_0047,individual,1
CUST_0048,individual,1
CUST_0049,individual,1
CUST_0050,individual,1
CUST_0051,individual,1
CUST_0052,individual,1
CUST_0053,individual,1
CUST_0054,individual,1
CUST_0055,individual,1
CUST_0056,individual,1
CUST_0057,individual,1
CUST_0058,individual,4
CUST_0059,individual,1
CUST_0060,individual,1
CUST_0061,individual,1
CUST_0062,individual,1
CUST_0063,individual,1
CUST_0064,individual,1
CUST_0065,individual,1
CUST_0066,individual,2
CUST_0067,individual,1
CUST_0068,individual,1
CUST_0069,individual,1
CUST_0070,individual,1
CUST_0071,individual,1
CUST_0072,individual,1
CUST_0073,individual,1
CUST_0074,individual,1
CUST_0075,individual,2
CUST_0076,individual,1
CUST_0077,individual,1
CUST_0078,individual,1
CUST_0079,individual,1
CUST_0080,individual,1
CUST_0081,individual,1
CUST_0082,individual,1
CUST_0083,individual,1
CUST_0084,individual,1
CUST_0085,individual,1
CUST_0086,individual,1
CUST_0087,individual,1
CUST_0088,individual,1
CUST_0089,individual,1
CUST_0090,individual,1
CUST_0091,individual,1
CUST_0092,individual,1
CUST_0093,individual,3
CUST_0094,individual,1
CUST_0095,individual,1
CUST_0096,individual,1
CUST_0097,individual,1
CUST_0098,individual,1
CUST_0099,individual,1
CUST_0100,individual,1
CUST_0101,individual,1
CUST_0102,individual,1
CUST_0103,individual,1
CUST_0104,individual,1
CUST_0105,individual,1
CUST_0106,individual,1
CUST_0107,individual,2
CUST_0108,individual,2
CUST_0109,individual,1
CUST_0110,individual,1
CUST_0111,individual,1
CUST_0112,individual,1
CUST_0113,individual,1
CUST_0114,individual,1
CUST_0115,individual,1
CUST_0116,individual,1
CUST_0117,individual,1
CUST_0118,individual,1
CUST_0119,individual,1
CUST_0120,individual,1
CUST_0121,individual,1
CUST_0122,individual,1
CUST_0123,individual,1
CUST_0124,individual,1
CUST_0125,individual,1
CUST_0126,individual,1
CUST_0127,individual,1
CUST_0128,individual,1
CUST_0129,individual,1
CUST_0130,individual,1
CUST_0131,individual,1
CUST_0132,individual,1
CUST_0133,individual,1
CUST_0134,individual,1
CUST_0135,individual,1
CUST_0136,individual,1
CUST_0137,individual,1
CUST_0138,individual,1
CUST_0139,individual,1
CUST_0140,business,1
CUST_0141,individual,2
CUST_0142,individual,1
CUST_0143,individual,1
CUST_0144,individual,1
CUST_0145,individual,1
CUST_0146,individual,1
CUST_0147,individual,1
CUST_0148,individual,1
CUST_0149,individual,1
CUST_0150,individual,2
CUST_0151,individual,1
CUST_0152,individual,1
CUST_0153,individual,1
CUST_0154,individual,1
CUST_0155,individual,1
CUST_0156,individual,1
CUST_0157,individual,1
CUST_0158,individual,1
CUST_0159,individual,1
CUST_0160,individual,1
CUST_0161,individual,1
CUST_0162,individual,1
CUST_0163,individual,1
CUST_0164,individual,1
CUST_0165,individual,1
CUST_0166,individual,1
CUST_0167,individual,1
CUST_0168,individual,1
CUST_0169,individual,2
CUST_0170,individual,1
CUST_0171,individual,1
CUST_0172,individual,1
CUST_0173,individual,2
CUST_0174,individual,1
CUST_0175,individual,3
CUST_0176,individual,1
CUST_0177,individual,1
CUST_0178,individual,1
CUST_0179,individual,1
CUST_0180,individual,1
CUST_0181,individual,1
CUST_0182,individual,1
CUST_0183,individual,1
CUST_0184,individual,1
CUST_0185,individual,1
CUST_0186,individual,1
CUST_0187,individual,1
CUST_0188,individual,1
CUST_0189,individual,1
CUST_0190,individual,1
CUST_0191,individual,1
CUST_0192,individual,1
CUST_0193,individual,1
CUST_0194,individual,1
CUST_0195,individual,1
CUST_0196,individual,1
CUST_0197,individual,1
CUST_0198,individual,1
CUST_0199,individual,1
CUST_0200,individual,1
CUST_0201,individual,1
CUST_0202,individual,1
CUST_0203,individual,1
CUST_0204,individual,1
CUST_0205,individual,1
CUST_0206,individual,1
CUST_0207,individual,1
CUST_0208,individual,1
CUST_0209,individual,1
CUST_0210,individual,1
CUST_0211,individual,1
CUST_0212,individual,1
CUST_0213,individual,1
CUST_0214,individual,1
CUST_0215,individual,1
CUST_0216,individual,1
CUST_0217,individual,1
CUST_0218,individual,1
CUST_0219,individual,1
CUST_0220,individual,1
CUST_0221,individual,1
CUST_0222,individual,1
CUST_0223,individual,2
CUST_0224,individual,1
CUST_0225,individual,1
CUST_0226,individual,1
CUST_0227,individual,1
CUST_0228,individual,1
CUST_0229,individual,1
CUST_0230,individual,1
CUST_0231,individual,1
CUST_0232,individual,1
CUST_0233,individual,1
CUST_0234,individual,1
CUST_0235,individual,1
CUST_0236,individual,1
CUST_0237,individual,1
CUST_0238,individual,1
CUST_0239,individual,1
CUST_0240,individual,1
CUST_0241,individual,1
CUST_0242,individual,1
CUST_0243,individual,1
CUST_0244,individual,1
CUST_0245,individual,1
CUST_0246,individual,1
CUST_0247,individual,1
CUST_0248,individual,1
CUST_0249,individual,1
CUST_0250,individual,1
CUST_0251,individual,2
CUST_0252,individual,1
CUST_0253,individual,1
CUST_0254,individual,1
CUST_0255,individual,2
CUST_0256,individual,1
CUST_0257,individual,1
CUST_0258,individual,1
CUST_0259,individual,1
CUST_0260,individual,1
CUST_0261,individual,1
CUST_0262,individual,1
CUST_0263,individual,1
CUST_0264,individual,1
CUST_0265,individual,1
CUST_0266,individual,1
CUST_0267,individual,1
CUST_0268,individual,1
CUST_0269,individual,1
CUST_0270,individual,1
CUST_0271,individual,1
CUST_0272,individual,1
CUST_0273,individual,1
CUST_0274,individual,1
CUST_0275,individual,1
CUST_0276,individual,1
CUST_0277,individual,1
CUST_0278,individual,1
CUST_0279,individual,1
CUST_0280,individual,1
CUST_0281,individual,1
CUST_0282,individual,1
CUST_0283,institutional,1
CUST_0284,individual,1
CUST_0285,individual,2
CUST_0286,individual,1
CUST_0287,individual,1
CUST_0288,individual,1
CUST_0289,individual,1
CUST_0290,individual,1
CUST_0291,individual,1
CUST_0292,individual,1
CUST_0293,individual,1
CUST_0294,individual,1
CUST_0295,individual,1
CUST_0296,individual,1
CUST_0297,individual,1
CUST_0298,individual,1
CUST_0299,individual,1
CUST_0300,individual,1
CUST_0301,individual,1
CUST_0302,individual,1
CUST_0303,individual,1
CUST_0304,business,1
CUST_0305,individual,1
CUST_0306,individual,1
CUST_0307,individual,1
CUST_0308,individual,1
CUST_0309,individual,1
CUST_0310,business,1
CUST_0311,individual,1
CUST_0312,individual,1
CUST_0313,individual,1
CUST_0314,individual,1
CUST_0315,individual,1
CUST_0316,individual,1
CUST_0317,individual,1
CUST_0318,individual,1
CUST_0319,individual,1
CUST_0320,individual,1
CUST_0321,individual,1
CUST_0322,individual,1
CUST_0323,individual,1
CUST_0324,individual,1
CUST_0325,individual,1
CUST_0326,individual,1
CUST_0327,individual,1
CUST_0328,individual,1
CUST_0329,individual,1
CUST_0330,business,1
CUST_0331,individual,1
CUST_0332,individual,3
CUST_0333,individual,1
CUST_0334,individual,1
CUST_0335,individual,1
CUST_0336,individual,1
CUST_0337,individual,1
CUST_0338,individual,1
CUST_0339,individual,1
CUST_0340,individual,1
CUST_0341,individual,1
CUST_0342,individual,1
CUST_0343,individual,1
CUST_0344,individual,1
CUST_0345,individual,1
CUST_0346,individual,1
CUST_0347,individual,1
CUST_0348,individual,1
CUST_0349,individual,2
CUST_0350,individual,1
CUST_0351,individual,1
CUST_0352,individual,1
CUST_0353,individual,1
CUST_0354,individual,1
CUST_0355,individual,1
CUST_0356,individual,1
CUST_0357,individual,1
CUST_0358,institutional,2
CUST_0359,individual,1
CUST_0360,individual,1
CUST_0361,individual,1
CUST_0362,individual,1
CUST_0363,individual,1
CUST_0364,individual,1
CUST_0365,individual,1
CUST_0366,individual,1
CUST_0367,individual,1
CUST_0368,individual,1
CUST_0369,individual,1
CUST_0370,individual,1
CUST_0371,individual,1
CUST_0372,individual,1
CUST_0373,individual,1
CUST_0374,individual,1
CUST_0375,individual,1
