plan_key,subscription_plan,sub_service_type,plan_period
PLAN_0001,FIBRE/AIRFIBRE BASIC OTT-FBB-COMBO,BHARAT FIBER COMBO,unknown
PLAN_0002,FTTH BASIC VALUE PLAN-FBB-COMBO,BHARAT FIBER COMBO,MONTHLY
PLAN_0003,FIBRE-BSNL-OFFICE-599-FBB-COMBO,BHARAT FIBER COMBO,MONTHLY
PLAN_0004,FIBRE BASIC-FBB-COMBO,BHARAT FIBER COMBO,MONTHLY
PLAN_0005,FIBRE BASIC PLUS-FBB-COMBO,BHARAT FIBER COMBO,MONTHLY
PLAN_0006,FIBRE VALUES PLUS-FBB-COMBO,BHARAT FIBER COMBO,MONTHLY
PLAN_0007,FTTH VOICE UNLIMITED-FBB-COMBO,BHARAT FIBER COMBO,MONTHLY
PLAN_0008,FIBRE BASIC NEO-FBB-COMBO,BHARAT FIBER COMBO,MONTHLY
PLAN_0009,FIBER_BB_ADI DRAVIDA_999-FBB-COMBO,BHARAT FIBER COMBO,MONTHLY
PLAN_0010,FIBRE HOME WIFI/GHAR KA WIFI-FBB-COMBO,BHARAT FIBER COMBO,MONTHLY
PLAN_0011,FIBRE/AIRFIBRE SILVER PLUS OTT NEW-FBB-COMBO,BHARAT FIBER COMBO,MONTHLY
PLAN_0012,FIBRE TB PLAN-FBB-COMBO,BHARAT FIBER COMBO,MONTHLY
PLAN_0013,FIBRE/AIRFIBRE-PREMIUM-PLUS-1299-6000GB-FBB-COMBO,BHARAT FIBER COMBO,MONTHLY
PLAN_0014,FIBRE-PREMIUM-PLUS-1299-6000GB-FBB-COMBO,BHARAT FIBER COMBO,MONTHLY
PLAN_0015,FIBER SHIKSHA 449-FBB COMBO,BHARAT FIBER COMBO,MONTHLY
PLAN_0016,FIBRE/AIRFIBRE BASIC OTT-FBB-COMBO,BHARAT FIBER COMBO,MONTHLY
PLAN_0017,FIBRE BASIC OTT-FBB-COMBO,BHARAT FIBER COMBO,MONTHLY
PLAN_0018,FIBRE ENTRY Q-FBB-COMBO,BHARAT FIBER COMBO,QUARTERLY
PLAN_0019,FIBRE VALUE PLUS OTT-FBB-COMBO,BHARAT FIBER COMBO,MONTHLY
PLAN_0020,FIBRE/AIRFIBRE SUPER STAR PREMIUM PLUS OTT NEW-FBB-COMBO,BHARAT FIBER COMBO,MONTHLY
PLAN_0021,FIBRE PREMIUM PLUS OTT NEW-FBB-COMBO,BHARAT FIBER COMBO,MONTHLY
PLAN_0022,FIBRE BASIC PLUS-FBB-COMBO,BHARAT FIBER COMBO,199DAYS
PLAN_0023,FIBRE BASIC PLUS-FBB-COMBO,BHARAT FIBER COMBO,13MONTHLY
PLAN_0024,FIBER SHIKSHA 599-FBB COMBO,BHARAT FIBER COMBO,MONTHLY
PLAN_0025,FIBRE BSNL SPARK-FBB-COMBO,BHARAT FIBER COMBO,MONTHLY
PLAN_0026,FIBRE/AIRFIBRE BASIC OTT-FBB-COMBO,BHARAT FIBER COMBO,13MONTHLY
PLAN_0027,FIBRE ENTRY HY-FBB-COMBO,BHARAT FIBER COMBO,HALF YEARLY
PLAN_0028,FIBRE EXPERIENCE-FBB-COMBO,BHARAT FIBER COMBO,MONTHLY
PLAN_0029,FIBRE/AIRFIBRE BASIC PLUS OTT-FBB-COMBO,BHARAT FIBER COMBO,MONTHLY
PLAN_0030,FIBRE RUBY OTT NEW-FBB-COMBO,BHARAT FIBER COMBO,MONTHLY
PLAN_0031,FIBRE/AIRFIBRE SUPER STAR PREMIUM PLUS OTT NEW-FBB-COMBO,BHARAT FIBER COMBO,199DAYS
PLAN_0032,FTTH VOICE UNLIMITED-FBB-COMBO,BHARAT FIBER COMBO,unknown
PLAN_0033,FIBRE ENTRY-FBB-COMBO,BHARAT FIBER COMBO,MONTHLY
PLAN_0034,FIBRE SUPER STAR PREMIUM PLUS OTT NEW-FBB-COMBO,BHARAT FIBER COMBO,MONTHLY
PLAN_0035,FIBRE BASIC PLUS OTT-FBB-COMBO,BHARAT FIBER COMBO,MONTHLY
PLAN_0036,FIBRE 399 CS387-FBB-COMBO,BHARAT FIBER COMBO,MONTHLY
PLAN_0037,FIBRE VALUE OTT-FBB-COMBO,BHARAT FIBER COMBO,MONTHLY
PLAN_0038,FIBRE BASIC NEO-FBB-COMBO,BHARAT FIBER COMBO,HALF YEARLY
PLAN_0039,RURAL FTTH VOICE UNLIMITED-FBB-COMBO,BHARAT FIBER COMBO,MONTHLY
PLAN_0040,FIBRE/AIRFIBRE SUPER STAR PREMIUM PLUS OTT NEW-AN-FBB-COMBO,BHARAT FIBER COMBO,ANNUALLY
PLAN_0041,FIBRE/AIRFIBRE SUPER STAR PREMIUM PLUS OTT NEW-FBB-COMBO,BHARAT FIBER COMBO,13MONTHLY
PLAN_0042,FIBRE BASIC PLUS-FBB-COMBO,BHARAT FIBER COMBO,unknown
PLAN_0043,FIBRE TB PLAN-FBB-COMBO,BHARAT FIBER COMBO,ANNUALLY
PLAN_0044,FIBRE ENTRY-FBB-COMBO,BHARAT FIBER COMBO,unknown
PLAN_0045,FIBRE/AIRFIBRE RUBY OTT NEW-FBB-COMBO,BHARAT FIBER COMBO,MONTHLY
PLAN_0046,FIBRE ULTRA OTT NEW-FBB-COMBO,BHARAT FIBER COMBO,MONTHLY
PLAN_0047,FIBRE BASIC NEO-FBB-COMBO,BHARAT FIBER COMBO,unknown
PLAN_0048,FIBRE ENTRY-FBB-COMBO,BHARAT FIBER COMBO,HALF YEARLY
PLAN_0049,FIBRE VALUES PLUS-FBB-COMBO,BHARAT FIBER COMBO,ANNUALLY
PLAN_0050,FIBRE TB PLAN-FBB-COMBO,BHARAT FIBER COMBO,unknown
PLAN_0051,FIBRE VALUES PLUS-FBB-COMBO,BHARAT FIBER COMBO,unknown
PLAN_0052,FIBRO 100GB/MONTH CUL-FBB-COMBO,BHARAT FIBER COMBO,MONTHLY
PLAN_0053,1500GB CS55-BHARAT FIBER-FBB-COMBO,BHARAT FIBER COMBO,MONTHLY
PLAN_0054,FIBRE/AIRFIBRE ULTRA OTT NEW-FBB-COMBO,BHARAT FIBER COMBO,MONTHLY
PLAN_0055,FIBRE SANSAD 1000 ULD-FBB-COMBO,BHARAT FIBER COMBO,MONTHLY
PLAN_0056,1500GB CS55-BHARAT FIBER-FBB-COMBO,BHARAT FIBER COMBO,unknown
PLAN_0057,FIBRE/AIRFIBRE ULTRA OTT NEW-FBB-COMBO,BHARAT FIBER COMBO,unknown
PLAN_0058,FIBRE GOLDEN OTT-FBB-COMBO,BHARAT FIBER COMBO,MONTHLY
PLAN_0059,FIBRE BASIC PLUS OTT-FBB-COMBO,BHARAT FIBER COMBO,13MONTHLY
PLAN_0060,FIBRE BASIC-FBB-COMBO,BHARAT FIBER COMBO,13MONTHLY
PLAN_0061,FIBRE TB PLAN-FBB-COMBO,BHARAT FIBER COMBO,HALF YEARLY
PLAN_0062,FIBRE/AIRFIBRE ULTRA OTT NEW-FBB-COMBO,BHARAT FIBER COMBO,13MONTHLY
PLAN_0063,FIBRE BASIC-FBB-COMBO,BHARAT FIBER COMBO,HALF YEARLY
PLAN_0064,FIBRE SILVER PLUS OTT NEW-FBB-COMBO,BHARAT FIBER COMBO,MONTHLY
PLAN_0065,FIBRE SILVER OTT NEW-FBB-COMBO,BHARAT FIBER COMBO,MONTHLY
PLAN_0066,FIBRE 399 CS387-FBB-COMBO,BHARAT FIBER COMBO,unknown
PLAN_0067,FIBRE BASIC-FBB-COMBO,BHARAT FIBER COMBO,unknown
PLAN_0068,FIBRE BASIC PLUS-FBB-COMBO,BHARAT FIBER COMBO,13 MONTHLY
PLAN_0069,BHARAT FIBER - BBG ULD 999 - BBNL -NOFN-FBB-COMBO,BHARAT FIBER COMBO,MONTHLY
PLAN_0070,FIBRE SUPER STAR PREMIUM PLUS OTT NEW-FBB-COMBO,BHARAT FIBER COMBO,unknown
PLAN_0071,FIBRE BASIC NEO-FBB-COMBO,BHARAT FIBER COMBO,97DAYS
PLAN_0072,FIBRE/AIRFIBRE BASIC PLUS OTT-FBB-COMBO,BHARAT FIBER COMBO,unknown
PLAN_0073,FIBRE SILVER-FBB-COMBO,BHARAT FIBER COMBO,MONTHLY
PLAN_0074,FIBRE PREMIUM PLUS-FBB-COMBO,BHARAT FIBER COMBO,MONTHLY
PLAN_0075,FIBRE SUPER STAR PREMIUM PLUS OTT NEW-FBB-COMBO,BHARAT FIBER COMBO,13 MONTHLY
PLAN_0076,FIBRE VALUE OTT-FBB-COMBO,BHARAT FIBER COMBO,HALF YEARLY
PLAN_0077,FIBER SHIKSHA 599-FBB COMBO,BHARAT FIBER COMBO,unknown
PLAN_0078,FIBER SHIKSHA 449-FBB COMBO,BHARAT FIBER COMBO,unknown
PLAN_0079,FIBRE PREMIUM PLUS OTT NEW-FBB-COMBO,BHARAT FIBER COMBO,unknown
PLAN_0080,FIBRE/AIRFIBRE-PREMIUM-PLUS-1299-6000GB-FBB-COMBO,BHARAT FIBER COMBO,unknown
PLAN_0081,FIBRE BASIC PLUS OTT-FBB-COMBO,BHARAT FIBER COMBO,HALF YEARLY
